patient,drug,dose,plate,half,n_rows,frac_untestable
ACH-000120,Belumosudil (mesylate),0.5,2,0,62710,0.6547121671184819
ACH-000120,Belumosudil (mesylate),5.0,3,0,62710,0.7729708180513475
ACH-000120,Belzutifan,0.05,1,0,62710,0.7155637059480147
ACH-000120,Belzutifan,0.5,2,0,62710,0.6594004146069208
ACH-000120,Belzutifan,5.0,3,0,62710,0.7744697815340456
ACH-000120,Bendamustine,0.05,7,0,62710,0.7096794769574231
ACH-000120,Bendamustine,0.5,8,0,62710,0.6396587466113858
ACH-000120,Bendamustine,5.0,9,0,62710,0.7132036357837666
ACH-000120,Benproperine (phosphate),0.05,7,0,62710,0.6944506458300111
ACH-000120,Benproperine (phosphate),0.5,8,0,62710,0.6427204592568968
ACH-000120,Benproperine (phosphate),5.0,9,0,62710,0.7015627491628129
ACH-000120,Bentamapimod,0.05,1,0,62710,0.700590017541062
ACH-000120,Bentamapimod,0.5,2,0,62710,0.6589698612661458
ACH-000120,Bentamapimod,5.0,3,0,62710,0.7392122468505821
ACH-000120,Benztropine (mesylate),0.05,10,0,62710,0.669446659225004
ACH-000120,Benztropine (mesylate),0.5,11,0,62710,0.6709934619677882
ACH-000120,Benztropine (mesylate),5.0,12,0,62710,0.6404560676128209
ACH-000120,Berbamine,0.05,4,0,62710,0.6996491787593685
ACH-000120,Berbamine,0.5,13,0,62710,0.6555413809599745
ACH-000120,Berbamine,0.5,5,1,62710,0.7034603731462287
ACH-000120,Berbamine,5.0,14,0,62710,0.7051666400893
ACH-000120,Berbamine,5.0,6,1,62710,0.6701483017062669
ACH-000120,Berbamine (dihydrochloride),0.05,13,0,62710,0.6631956625737522
ACH-000120,Berbamine (dihydrochloride),0.05,7,1,62710,0.7105086907989157
ACH-000120,Berbamine (dihydrochloride),0.5,13,0,62710,0.6733854249720937
ACH-000120,Berbamine (dihydrochloride),0.5,8,1,62710,0.6240790942433424
ACH-000120,Berbamine (dihydrochloride),5.0,13,0,62710,0.6967947695742306
