patient,drug,dose,n_gene_doses,var_lfc_mean,mean_se2_mean,sigma2_plate_pooled,between_plate_fraction_pooled,n_responder_gene_doses,var_lfc_mean_responders,mean_se2_mean_responders,sigma2_plate_pooled_responders,between_plate_fraction_pooled_responders,n_nonresponder_gene_doses,var_lfc_mean_nonresponders,mean_se2_mean_nonresponders,sigma2_plate_pooled_nonresponders,between_plate_fraction_pooled_nonresponders
ACH-001333,Ralimetinib dimesylate,0.05,21440,6.847431,3.388611,3.45882,0.505127,3544,21.408443,7.144524,14.263919,0.666275,17896,3.963869,2.644816,1.319053,0.332769
ACH-001333,Raltitrexed,5.0,22941,1.126946,2.534748,0.0,0.0,93,0.118446,0.021837,0.096609,0.815635,22848,1.131051,2.544976,0.0,0.0
ACH-001333,Rapamycin,5.0,23094,1.183004,2.642611,0.0,0.0,213,0.366632,0.059216,0.307417,0.838488,22881,1.190604,2.66666,0.0,0.0
ACH-001333,Regorafenib,0.05,22358,1.30642,2.801777,0.0,0.0,354,1.212536,0.229657,0.982879,0.810598,22004,1.307931,2.843157,0.0,0.0
ACH-001333,Regorafenib,0.5,22522,1.205408,2.566182,0.0,0.0,168,0.73693,0.115166,0.621763,0.843721,22354,1.208928,2.584602,0.0,0.0
ACH-001333,Regorafenib,5.0,20104,1.345131,2.826791,0.0,0.0,96,0.634757,0.128711,0.506046,0.797228,20008,1.348539,2.839736,0.0,0.0
ACH-001333,Relugolix,5.0,22874,1.12952,2.529977,0.0,0.0,46,0.588643,0.051833,0.53681,0.911945,22828,1.13061,2.534971,0.0,0.0
ACH-001333,Resveratrol,5.0,22168,1.188418,2.688976,0.0,0.0,305,0.568839,0.074358,0.494481,0.86928,21863,1.197061,2.725451,0.0,0.0
ACH-001333,Retinoic acid,5.0,23023,1.140317,2.659968,0.0,0.0,193,0.438908,0.080124,0.358784,0.817446,22830,1.146247,2.681777,0.0,0.0
ACH-001333,Riluzole hydrochloride,5.0,23061,1.174551,2.672263,0.0,0.0,214,0.327556,0.070092,0.257464,0.786015,22847,1.182484,2.696637,0.0,0.0
ACH-001333,Rimonabant,5.0,22848,1.154194,2.648503,0.0,0.0,157,0.201882,0.051746,0.150137,0.743683,22691,1.160783,2.66647,0.0,0.0
ACH-001333,Ritonavir,5.0,22394,1.188417,2.782071,0.0,0.0,57,0.559987,0.139364,0.420623,0.75113,22337,1.190021,2.788814,0.0,0.0
ACH-001333,Ropivacaine (hydrochloride monohydrate),5.0,22450,1.151973,2.718541,0.0,0.0,118,0.187924,0.04587,0.142055,0.755914,22332,1.157067,2.732663,0.0,0.0
ACH-001333,S-Adenosyl-L-methionine (disulfate tosylate),5.0,22576,1.172665,2.74145,0.0,0.0,152,0.217011,0.074747,0.142263,0.655559,22424,1.179142,2.759526,0.0,0.0
ACH-001333,Salicylic acid,5.0,23185,1.209215,2.819731,0.0,0.0,77,0.86802,0.199545,0.668475,0.770115,23108,1.210351,2.828462,0.0,0.0
ACH-001333,Saquinavir,5.0,21752,1.149688,2.897265,0.0,0.0,143,0.519079,0.071531,0.447548,0.862196,21609,1.153861,2.915965,0.0,0.0
ACH-001333,Selinexor ,5.0,22075,1.122615,2.693779,0.0,0.0,952,0.462322,0.103418,0.358904,0.776308,21123,1.152374,2.810525,0.0,0.0
ACH-001333,Sinomenine,5.0,22634,1.147106,2.659226,0.0,0.0,112,0.184549,0.041806,0.142743,0.77347,22522,1.151893,2.672242,0.0,0.0
ACH-001333,Sodium Salicylate,5.0,23534,1.255219,2.708762,0.0,0.0,308,0.345866,0.096389,0.249477,0.72131,23226,1.267278,2.743405,0.0,0.0
ACH-001333,Sonidegib,0.05,21903,4.933794,3.582118,1.351676,0.273963,240,9.000605,1.099554,7.901051,0.877836,21663,4.888739,3.609622,1.279117,0.261646
ACH-001333,Sulfisoxazole,0.5,21632,1.264265,2.781081,0.0,0.0,574,0.977501,0.1492,0.828302,0.847366,21058,1.272082,2.852821,0.0,0.0
ACH-001333,Sulfisoxazole,5.0,22774,1.206403,2.656493,0.0,0.0,107,0.370343,0.072891,0.297452,0.80318,22667,1.210349,2.668689,0.0,0.0
ACH-001333,Temsirolimus,5.0,22567,1.179828,2.808226,0.0,0.0,113,0.31331,0.056846,0.256464,0.818563,22454,1.184189,2.822072,0.0,0.0
ACH-001333,Terfenadine,0.5,21038,1.259756,3.09379,0.0,0.0,599,1.137215,0.127486,1.009729,0.887896,20439,1.263347,3.180723,0.0,0.0
ACH-001333,Terfenadine,5.0,22298,1.199547,2.774943,0.0,0.0,140,0.469874,0.070507,0.399367,0.849945,22158,1.204157,2.79203,0.0,0.0
ACH-001333,Thymol,5.0,22045,1.119292,2.80751,0.0,0.0,206,0.458324,0.062271,0.396054,0.864134,21839,1.125527,2.833405,0.0,0.0
ACH-001333,Tofacitinib,5.0,22575,1.178974,2.717698,0.0,0.0,181,0.453129,0.07701,0.376119,0.830049,22394,1.18484,2.739042,0.0,0.0
ACH-001333,Tofacitinib (citrate),5.0,22968,1.226804,2.732326,0.0,0.0,165,0.431398,0.087813,0.343585,0.796446,22803,1.232559,2.751462,0.0,0.0
ACH-001333,Tolcapone,5.0,22628,1.144243,2.627979,0.0,0.0,114,0.613007,0.124716,0.488291,0.79655,22514,1.146933,2.640654,0.0,0.0
ACH-001333,Topotecan (hydrochloride),0.05,19230,1.273687,2.803749,0.0,0.0,198,1.218224,0.215506,1.002718,0.823098,19032,1.274264,2.830676,0.0,0.0
